text,primary_label,all_labels,num_labels,all_raw_scores,top_label,top_score,final_label
Motivated individial who has already started business.,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3.0,"{'Mindset and Motivation': 0.7849551836649576, 'Clarity of Business and Self-Understanding': 0.43544389804204303, 'Practical Preparation and Readiness': 0.37638869633277255, 'Technology and Platform Requirements': 0.19550307312359413, 'Business Information and Supporting Documents': 0.3382485806941986, 'No Preparation Needed': 0.052217074359456696, 'Time Availability and Commitment': 0.47263476252555847, 'Product Presentation and Portfolio Materials': 0.4821466455856959, 'Contact Details and Communication Channels': 0.7110854983329773, 'Active Listening and Openness to Feedback': 0.7157728970050812, 'Goal Clarity and Direction Setting': 0.639975349108378, 'Understanding Mentor Background': 0.036478201082597174, 'Social Media and Digital Presence': 0.6167446027199427}",,,
اعرفه بنفسى واسمعه وانصت إليه,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.5967301726341248, 'Clarity of Business and Self-Understanding': 0.7586497863133749, 'Practical Preparation and Readiness': 0.5874991863965988, 'Technology and Platform Requirements': 0.4932743789007266, 'Business Information and Supporting Documents': 0.576203778386116, 'No Preparation Needed': 0.3465495170870175, 'Time Availability and Commitment': 0.720017691453298, 'Product Presentation and Portfolio Materials': 0.6018767654895782, 'Contact Details and Communication Channels': 0.5631336371103922, 'Active Listening and Openness to Feedback': 0.9303169051806132, 'Goal Clarity and Direction Setting': 0.7052338620026907, 'Understanding Mentor Background': 0.48821161190668744, 'Social Media and Digital Presence': 0.6083945830663046}",,,
Im not a Mentor,Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting', 'Understanding Mentor Background']",3.0,"{'Mindset and Motivation': 0.7989609440167745, 'Clarity of Business and Self-Understanding': 0.43479347229003906, 'Practical Preparation and Readiness': 0.3631371036171913, 'Technology and Platform Requirements': 0.32161131004492444, 'Business Information and Supporting Documents': 0.3488905628522237, 'No Preparation Needed': 0.5510166188081106, 'Time Availability and Commitment': 0.748006006081899, 'Product Presentation and Portfolio Materials': 0.22017393012841543, 'Contact Details and Communication Channels': 0.546424408753713, 'Active Listening and Openness to Feedback': 0.48433566838502884, 'Goal Clarity and Direction Setting': 0.8624104062716166, 'Understanding Mentor Background': 0.9257369041442871, 'Social Media and Digital Presence': 0.3581578694283962}",,,
"Estar predispuesto Y sinceridad, si no esta de acuerdo con algo o no le gusta pueda expresarlo. La idea es ayudar desde un lado positivo.",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Mindset and Motivation', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.616580198208491, 'Clarity of Business and Self-Understanding': 0.31841568400462467, 'Practical Preparation and Readiness': 0.677822212378184, 'Technology and Platform Requirements': 0.6004567841688792, 'Business Information and Supporting Documents': 0.6063647866249084, 'No Preparation Needed': 0.0005606283472540478, 'Time Availability and Commitment': 0.6430470744768778, 'Product Presentation and Portfolio Materials': 0.5034773896137873, 'Contact Details and Communication Channels': 0.7026293774445852, 'Active Listening and Openness to Feedback': 0.9939479231834412, 'Goal Clarity and Direction Setting': 0.6450870434443156, 'Understanding Mentor Background': 0.5590096016724905, 'Social Media and Digital Presence': 0.5928834875424703}",,,
"saya harap wirausaha/mentee sudah memiliki WA, IG Business, dan platform penjualan online",Social Media and Digital Presence,['Social Media and Digital Presence'],1.0,"{'Mindset and Motivation': 0.26963721875411767, 'Clarity of Business and Self-Understanding': 0.3241864430407683, 'Practical Preparation and Readiness': 0.05695604641611377, 'Technology and Platform Requirements': 0.5952794253826141, 'Business Information and Supporting Documents': 0.07344807560245196, 'No Preparation Needed': 0.00014968032337492332, 'Time Availability and Commitment': 0.06691400861988465, 'Product Presentation and Portfolio Materials': 0.12339828349649906, 'Contact Details and Communication Channels': 0.2527564639846484, 'Active Listening and Openness to Feedback': 0.5640123387177786, 'Goal Clarity and Direction Setting': 0.48496118436257046, 'Understanding Mentor Background': 0.0026757241187927625, 'Social Media and Digital Presence': 0.6357262295981249}",,,
"La aptitud podemos mejorarla. La actitud no. 
Necesito que estés concentrado en mantener y consolidar una actitud positiva sobre ti mismo y de tu negocio.
Ese será un buen punto de partida para que trabajemos juntos.
--
Fitness can be improved. The attitude doesn't.
I need you to be focused on maintaining and consolidating a positive attitude about yourself and your business.
That will be a good starting point for us to work together.",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3.0,"{'Mindset and Motivation': 0.9990852077802023, 'Clarity of Business and Self-Understanding': 0.9993521372477213, 'Practical Preparation and Readiness': 0.9979577660560608, 'Technology and Platform Requirements': 0.999374787012736, 'Business Information and Supporting Documents': 0.9994754791259766, 'No Preparation Needed': 0.995967706044515, 'Time Availability and Commitment': 0.9971464474995931, 'Product Presentation and Portfolio Materials': 0.9994766513506571, 'Contact Details and Communication Channels': 0.9994871020317078, 'Active Listening and Openness to Feedback': 0.9928573369979858, 'Goal Clarity and Direction Setting': 0.9992705583572388, 'Understanding Mentor Background': 0.9979077776273092, 'Social Media and Digital Presence': 0.9995190103848776}",,,
Disposición,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Technology and Platform Requirements']",3.0,"{'Mindset and Motivation': 0.8930516640345255, 'Clarity of Business and Self-Understanding': 0.6225642760594686, 'Practical Preparation and Readiness': 0.8340376218159994, 'Technology and Platform Requirements': 0.7548581759134928, 'Business Information and Supporting Documents': 0.8132532835006714, 'No Preparation Needed': 0.05965239182114601, 'Time Availability and Commitment': 0.8456918994585673, 'Product Presentation and Portfolio Materials': 0.8370800415674845, 'Contact Details and Communication Channels': 0.8944190144538879, 'Active Listening and Openness to Feedback': 0.8205357988675436, 'Goal Clarity and Direction Setting': 0.8850309252738953, 'Understanding Mentor Background': 0.6917558113733927, 'Social Media and Digital Presence': 0.7839614152908325}",,,
"Tener claro que debe invertir económicamente en el lanzamiento o mejora de su negocio.
Tener una actitud proactiva, abierta al cambio o a escuchar sugerencias sobre los mismos.
Tener en cuenta que debe estar comprometido realmente con una cultura de innovación y de calidad.",Active Listening and Openness to Feedback,['Active Listening and Openness to Feedback'],1.0,"{'Mindset and Motivation': 0.34429116927397746, 'Clarity of Business and Self-Understanding': 0.4964873194694519, 'Practical Preparation and Readiness': 0.2062233773370584, 'Technology and Platform Requirements': 0.46526578689614934, 'Business Information and Supporting Documents': 0.4532923897107442, 'No Preparation Needed': 0.0004527474084170535, 'Time Availability and Commitment': 0.31639741609493893, 'Product Presentation and Portfolio Materials': 0.3160051703453064, 'Contact Details and Communication Channels': 0.4463159665465355, 'Active Listening and Openness to Feedback': 0.9404227336247762, 'Goal Clarity and Direction Setting': 0.5949556181828181, 'Understanding Mentor Background': 0.006604952989922215, 'Social Media and Digital Presence': 0.21830468842138848}",,,
niat dan komitmen,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Time Availability and Commitment']",3.0,"{'Mindset and Motivation': 0.9760430852572123, 'Clarity of Business and Self-Understanding': 0.27088016519943875, 'Practical Preparation and Readiness': 0.8374384641647339, 'Technology and Platform Requirements': 0.2089146627113223, 'Business Information and Supporting Documents': 0.34748156865437824, 'No Preparation Needed': 0.0012512437727612753, 'Time Availability and Commitment': 0.7546276847521464, 'Product Presentation and Portfolio Materials': 0.6219415465990702, 'Contact Details and Communication Channels': 0.6054156819979349, 'Active Listening and Openness to Feedback': 0.7229863802591959, 'Goal Clarity and Direction Setting': 0.934236486752828, 'Understanding Mentor Background': 0.5501892765363058, 'Social Media and Digital Presence': 0.7148408393065134}",,,
A business plan is the best requirements,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.036364093772135675, 'Clarity of Business and Self-Understanding': 0.8846185406049093, 'Practical Preparation and Readiness': 0.12879743923743567, 'Technology and Platform Requirements': 0.043655986431986094, 'Business Information and Supporting Documents': 0.9237391948699951, 'No Preparation Needed': 0.00022011412511346862, 'Time Availability and Commitment': 0.262288685888052, 'Product Presentation and Portfolio Materials': 0.10589120133469503, 'Contact Details and Communication Channels': 0.24132649103800455, 'Active Listening and Openness to Feedback': 0.43740641325712204, 'Goal Clarity and Direction Setting': 0.6836733520030975, 'Understanding Mentor Background': 0.0013462952677703772, 'Social Media and Digital Presence': 0.4397742748260498}",,,
Write down what is on your mind and then we proceed to work through your list.,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",2.0,"{'Mindset and Motivation': 0.30409638832012814, 'Clarity of Business and Self-Understanding': 0.1549607217311859, 'Practical Preparation and Readiness': 0.4142495443423589, 'Technology and Platform Requirements': 0.30979432445019484, 'Business Information and Supporting Documents': 0.2287136676410834, 'No Preparation Needed': 0.011251773161347955, 'Time Availability and Commitment': 0.1483315664033095, 'Product Presentation and Portfolio Materials': 0.3383047680060069, 'Contact Details and Communication Channels': 0.25266459087530774, 'Active Listening and Openness to Feedback': 0.6276899576187134, 'Goal Clarity and Direction Setting': 0.6571562886238098, 'Understanding Mentor Background': 0.030401038626829784, 'Social Media and Digital Presence': 0.24047032743692398}",,,
Ser abierto y aceptar que nos equivocamos muchas veces,Active Listening and Openness to Feedback,['Active Listening and Openness to Feedback'],1.0,"{'Mindset and Motivation': 0.21115861584742865, 'Clarity of Business and Self-Understanding': 0.01868989442785581, 'Practical Preparation and Readiness': 0.06354172651966412, 'Technology and Platform Requirements': 0.18498460575938225, 'Business Information and Supporting Documents': 0.3125365749001503, 'No Preparation Needed': 0.0974846538156271, 'Time Availability and Commitment': 0.2017661308248838, 'Product Presentation and Portfolio Materials': 0.510820190111796, 'Contact Details and Communication Channels': 0.4801020920276642, 'Active Listening and Openness to Feedback': 0.8530559341112772, 'Goal Clarity and Direction Setting': 0.13325448582569757, 'Understanding Mentor Background': 0.2961405987540881, 'Social Media and Digital Presence': 0.35164546469847363}",,,
Gather your business plan and any other materials you already have regarding your venture.,Business Information and Supporting Documents,['Business Information and Supporting Documents'],1.0,"{'Mindset and Motivation': 0.038903128200521074, 'Clarity of Business and Self-Understanding': 0.33446269234021503, 'Practical Preparation and Readiness': 0.48631105820337933, 'Technology and Platform Requirements': 0.010609324478233853, 'Business Information and Supporting Documents': 0.9323196013768514, 'No Preparation Needed': 0.00011420208466006443, 'Time Availability and Commitment': 0.02664171640450756, 'Product Presentation and Portfolio Materials': 0.1871012281626463, 'Contact Details and Communication Channels': 0.013636688546588024, 'Active Listening and Openness to Feedback': 0.36887472371260327, 'Goal Clarity and Direction Setting': 0.3186951279640198, 'Understanding Mentor Background': 0.0008829463816558322, 'Social Media and Digital Presence': 0.13567796194305023}",,,
No se,Mindset and Motivation,"['Mindset and Motivation', 'No Preparation Needed', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.826453705628713, 'Clarity of Business and Self-Understanding': 0.43147732814153034, 'Practical Preparation and Readiness': 0.49887407819430035, 'Technology and Platform Requirements': 0.41011158128579456, 'Business Information and Supporting Documents': 0.5557729403177897, 'No Preparation Needed': 0.8823349277178446, 'Time Availability and Commitment': 0.7305879791577657, 'Product Presentation and Portfolio Materials': 0.4636991967757543, 'Contact Details and Communication Channels': 0.6343496640523275, 'Active Listening and Openness to Feedback': 0.6488860646883646, 'Goal Clarity and Direction Setting': 0.8747296929359436, 'Understanding Mentor Background': 0.837278683980306, 'Social Media and Digital Presence': 0.41604561855395633}",,,
"Soy emprendedor no mentor, no comprendo este apartado",Understanding Mentor Background,"['Understanding Mentor Background', 'Mindset and Motivation']",2.0,"{'Mindset and Motivation': 0.7159949243068695, 'Clarity of Business and Self-Understanding': 0.14509367446104685, 'Practical Preparation and Readiness': 0.0605687020967404, 'Technology and Platform Requirements': 0.18621927499771118, 'Business Information and Supporting Documents': 0.3333786229292552, 'No Preparation Needed': 0.07928738118304561, 'Time Availability and Commitment': 0.5780304471651713, 'Product Presentation and Portfolio Materials': 0.26803673431277275, 'Contact Details and Communication Channels': 0.45125430822372437, 'Active Listening and Openness to Feedback': 0.18317236254612604, 'Goal Clarity and Direction Setting': 0.5022280861934026, 'Understanding Mentor Background': 0.8640445669492086, 'Social Media and Digital Presence': 0.22127795297031602}",,,
.,,,,{},UNKNOWN,0.0,UNKNOWN
plan to know what goals he must achieve so define the ambitions to achieve.,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation']",2.0,"{'Mindset and Motivation': 0.7410669922828674, 'Clarity of Business and Self-Understanding': 0.2869873295227687, 'Practical Preparation and Readiness': 0.26237862557172775, 'Technology and Platform Requirements': 0.15140707790851593, 'Business Information and Supporting Documents': 0.327557976047198, 'No Preparation Needed': 0.0002570932677675349, 'Time Availability and Commitment': 0.13262911218528947, 'Product Presentation and Portfolio Materials': 0.2878461380799611, 'Contact Details and Communication Channels': 0.1869630217552185, 'Active Listening and Openness to Feedback': 0.06287356807539861, 'Goal Clarity and Direction Setting': 0.9483776688575745, 'Understanding Mentor Background': 0.0462041306309402, 'Social Media and Digital Presence': 0.5258267521858215}",,,
"In the first point of contact, there is no need for any preparation. I simply ask the entrepreneur to explain their business and identify their pain points and areas for improvement. From there, for the next mentoring session, I will provide them with a list of things I need to address their concerns and implement new strategies. This will allow us to collaborate effectively, tackle their challenges, and devise practical solutions for their business growth.",No Preparation Needed,['No Preparation Needed'],1.0,"{'Mindset and Motivation': 0.07197580090723932, 'Clarity of Business and Self-Understanding': 0.13303050523002943, 'Practical Preparation and Readiness': 0.02329496114786404, 'Technology and Platform Requirements': 0.05423875759394529, 'Business Information and Supporting Documents': 0.039379754452966154, 'No Preparation Needed': 0.9097366730372111, 'Time Availability and Commitment': 0.27446461624155444, 'Product Presentation and Portfolio Materials': 0.08075074222870171, 'Contact Details and Communication Channels': 0.10743492267404993, 'Active Listening and Openness to Feedback': 0.5541745026906332, 'Goal Clarity and Direction Setting': 0.04694717098027468, 'Understanding Mentor Background': 0.00893311124915878, 'Social Media and Digital Presence': 0.40744882511595887}",,,
.....,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Technology and Platform Requirements']",3.0,"{'Mindset and Motivation': 0.8946855465571085, 'Clarity of Business and Self-Understanding': 0.6901688973108927, 'Practical Preparation and Readiness': 0.8798196315765381, 'Technology and Platform Requirements': 0.771280566851298, 'Business Information and Supporting Documents': 0.8010385831197103, 'No Preparation Needed': 0.7803577383359274, 'Time Availability and Commitment': 0.8188910484313965, 'Product Presentation and Portfolio Materials': 0.7853794097900391, 'Contact Details and Communication Channels': 0.8780386050542196, 'Active Listening and Openness to Feedback': 0.919118324915568, 'Goal Clarity and Direction Setting': 0.938264528910319, 'Understanding Mentor Background': 0.7403124570846558, 'Social Media and Digital Presence': 0.7564656933148702}",,,
"Saya harao wirausahawan sudah memiliki akun sosial media yang menunjang bisnis, seperti Whatsapp Bussines dan Instagram Bussines",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Practical Preparation and Readiness', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.30646929994691163, 'Clarity of Business and Self-Understanding': 0.5487848420937856, 'Practical Preparation and Readiness': 0.6568646430969238, 'Technology and Platform Requirements': 0.36004258568088215, 'Business Information and Supporting Documents': 0.35401325672864914, 'No Preparation Needed': 0.14563914077977339, 'Time Availability and Commitment': 0.5427167117595673, 'Product Presentation and Portfolio Materials': 0.4653645157814026, 'Contact Details and Communication Channels': 0.5726770162582397, 'Active Listening and Openness to Feedback': 0.802275558312734, 'Goal Clarity and Direction Setting': 0.6004791557788849, 'Understanding Mentor Background': 0.003249598201364279, 'Social Media and Digital Presence': 0.6056623707214991}",,,
Tener claro qué quiere lograr.,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.8225076993306478, 'Clarity of Business and Self-Understanding': 0.7862016359965006, 'Practical Preparation and Readiness': 0.40484876930713654, 'Technology and Platform Requirements': 0.5292343298594157, 'Business Information and Supporting Documents': 0.5537941853205363, 'No Preparation Needed': 0.28541951067745686, 'Time Availability and Commitment': 0.5777849753697714, 'Product Presentation and Portfolio Materials': 0.5686378826697668, 'Contact Details and Communication Channels': 0.5593436360359192, 'Active Listening and Openness to Feedback': 0.3834095348914464, 'Goal Clarity and Direction Setting': 0.9703919092814127, 'Understanding Mentor Background': 0.04123171170552572, 'Social Media and Digital Presence': 0.6760238111019135}",,,
"Smartphone/komputer,jaringan internet dan media sosial",Technology and Platform Requirements,"['Technology and Platform Requirements', 'Contact Details and Communication Channels', 'Goal Clarity and Direction Setting']",3.0,"{'Mindset and Motivation': 0.31628211711843807, 'Clarity of Business and Self-Understanding': 0.22443870951732, 'Practical Preparation and Readiness': 0.4271080295244853, 'Technology and Platform Requirements': 0.8832168181737264, 'Business Information and Supporting Documents': 0.045015253126621246, 'No Preparation Needed': 0.49325416795909405, 'Time Availability and Commitment': 0.4928669035434723, 'Product Presentation and Portfolio Materials': 0.4607688436905543, 'Contact Details and Communication Channels': 0.7799192468325297, 'Active Listening and Openness to Feedback': 0.7148597637812296, 'Goal Clarity and Direction Setting': 0.7502224246660868, 'Understanding Mentor Background': 0.5309735536575317, 'Social Media and Digital Presence': 0.7768434385458628}",,,
Have clear reasons why they want to enter a mentoring relationship,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation']",2.0,"{'Mindset and Motivation': 0.6493427554766337, 'Clarity of Business and Self-Understanding': 0.3252684821685155, 'Practical Preparation and Readiness': 0.11923034962577124, 'Technology and Platform Requirements': 0.25498588957513374, 'Business Information and Supporting Documents': 0.26136626799901325, 'No Preparation Needed': 0.001880212750014228, 'Time Availability and Commitment': 0.08843538413445155, 'Product Presentation and Portfolio Materials': 0.38666122530897457, 'Contact Details and Communication Channels': 0.2752298067013423, 'Active Listening and Openness to Feedback': 0.5622660319010416, 'Goal Clarity and Direction Setting': 0.9778005282084147, 'Understanding Mentor Background': 0.14878220607837042, 'Social Media and Digital Presence': 0.33374038835366565}",,,
"Nada ,  esta preparado para contar con honestidad su situacion actual. Tener la actitud de aprender de manera activa , que sintamos la necesidad mutua de resolver lo planteado. disponible con interes y compromiso.",Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Understanding Mentor Background', 'Mindset and Motivation']",3.0,"{'Mindset and Motivation': 0.6296215876936913, 'Clarity of Business and Self-Understanding': 0.6120697855949402, 'Practical Preparation and Readiness': 0.4485376576582591, 'Technology and Platform Requirements': 0.2204734024902185, 'Business Information and Supporting Documents': 0.33499933282534283, 'No Preparation Needed': 0.7357649902502695, 'Time Availability and Commitment': 0.5924546470244726, 'Product Presentation and Portfolio Materials': 0.12424353137612343, 'Contact Details and Communication Channels': 0.4564569549014171, 'Active Listening and Openness to Feedback': 0.9496261278788248, 'Goal Clarity and Direction Setting': 0.1774065966407458, 'Understanding Mentor Background': 0.7709120710690817, 'Social Media and Digital Presence': 0.4307159607609113}",,,
