text,primary_label,all_labels,num_labels,all_raw_scores
"Semangat, Serius dan Konsisten.",Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.8865159749984741, 'Clarity of Business and Self-Understanding': 0.19598526880145073, 'Practical Preparation and Readiness': 0.6348310808340708, 'Technology and Platform Requirements': 0.25394777425875265, 'Business Information and Supporting Documents': 0.29918892060716945, 'No Preparation Needed': 0.0009521654186149439, 'Time Availability and Commitment': 0.4508727043867111, 'Product Presentation and Portfolio Materials': 0.4492275267839432, 'Contact Details and Communication Channels': 0.4826163550217946, 'Active Listening and Openness to Feedback': 0.04640821305414041, 'Goal Clarity and Direction Setting': 0.6180491894483566, 'Understanding Mentor Background': 0.5423384507497152, 'Social Media and Digital Presence': 0.3004713753859202}"
Have a clear cut vision and business idea,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.20702304349591336, 'Clarity of Business and Self-Understanding': 0.9808518091837565, 'Practical Preparation and Readiness': 0.016281975743671257, 'Technology and Platform Requirements': 0.12994647212326527, 'Business Information and Supporting Documents': 0.3067654458185037, 'No Preparation Needed': 0.08632930593254666, 'Time Availability and Commitment': 0.3635506747911374, 'Product Presentation and Portfolio Materials': 0.3294960707426071, 'Contact Details and Communication Channels': 0.33704443524281186, 'Active Listening and Openness to Feedback': 0.33150961187978584, 'Goal Clarity and Direction Setting': 0.8604669769605001, 'Understanding Mentor Background': 0.004354714008513838, 'Social Media and Digital Presence': 0.5532362659772238}"
صقل مواهبي وتفتح خبراتي,Mindset and Motivation,"['Mindset and Motivation', 'Practical Preparation and Readiness', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.9388124148050944, 'Clarity of Business and Self-Understanding': 0.5374583105246226, 'Practical Preparation and Readiness': 0.8755868474642435, 'Technology and Platform Requirements': 0.41166327397028607, 'Business Information and Supporting Documents': 0.4566352367401123, 'No Preparation Needed': 0.0012027350021526217, 'Time Availability and Commitment': 0.3889908989270528, 'Product Presentation and Portfolio Materials': 0.5976971089839935, 'Contact Details and Communication Channels': 0.6835888127485911, 'Active Listening and Openness to Feedback': 0.6241636996467909, 'Goal Clarity and Direction Setting': 0.7910385628541311, 'Understanding Mentor Background': 0.3962679902712504, 'Social Media and Digital Presence': 0.51845616598924}"
Mempunyai usaha,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents']",3,"{'Mindset and Motivation': 0.8827857971191406, 'Clarity of Business and Self-Understanding': 0.781724234422048, 'Practical Preparation and Readiness': 0.7387762665748596, 'Technology and Platform Requirements': 0.5569642980893453, 'Business Information and Supporting Documents': 0.7775856256484985, 'No Preparation Needed': 0.4904482364654541, 'Time Availability and Commitment': 0.6343271235624949, 'Product Presentation and Portfolio Materials': 0.7334120670954386, 'Contact Details and Communication Channels': 0.8196686307589213, 'Active Listening and Openness to Feedback': 0.8320733904838562, 'Goal Clarity and Direction Setting': 0.8822111090024313, 'Understanding Mentor Background': 0.20196115613604584, 'Social Media and Digital Presence': 0.7346467773119608}"
"To prepare, an entrepreneur should know and understand realistic requirements to starting a business.  Have a clear understanding of their business model, the business they want to start to be able to explain to a mentor. Have a clear agenda/plan of the meeting. Have great thought out questions. Practice meeting etiquette, show up on time.",Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness', 'Time Availability and Commitment']",3,"{'Mindset and Motivation': 0.281867051574712, 'Clarity of Business and Self-Understanding': 0.9498929580052694, 'Practical Preparation and Readiness': 0.9897244572639465, 'Technology and Platform Requirements': 0.3095151602756232, 'Business Information and Supporting Documents': 0.7076363762219747, 'No Preparation Needed': 7.038800322334282e-05, 'Time Availability and Commitment': 0.792656143506368, 'Product Presentation and Portfolio Materials': 0.5853077471256256, 'Contact Details and Communication Channels': 0.6656460762023926, 'Active Listening and Openness to Feedback': 0.33226482073465985, 'Goal Clarity and Direction Setting': 0.637570321559906, 'Understanding Mentor Background': 0.00257578482463335, 'Social Media and Digital Presence': 0.6739623645941416}"
"Primero tener una idea de negocio o en proceso.
Si ya se tiene el negocio donde quiero mejorar.
En que área del negocio se está teniendo problemas.
Se quiere ampliar el negocio o desarrollar un nuevo producto.
Se tiene problemas en procesos",Clarity of Business and Self-Understanding,['Clarity of Business and Self-Understanding'],1,"{'Mindset and Motivation': 0.17499423772096634, 'Clarity of Business and Self-Understanding': 0.6725685993830363, 'Practical Preparation and Readiness': 0.10615638581415017, 'Technology and Platform Requirements': 0.07955770504971345, 'Business Information and Supporting Documents': 0.22030699408302704, 'No Preparation Needed': 0.00034621582987407845, 'Time Availability and Commitment': 0.31640348583459854, 'Product Presentation and Portfolio Materials': 0.12472732613484065, 'Contact Details and Communication Channels': 0.2036911149819692, 'Active Listening and Openness to Feedback': 0.4440535108248393, 'Goal Clarity and Direction Setting': 0.4559278314312299, 'Understanding Mentor Background': 0.014707876665246053, 'Social Media and Digital Presence': 0.3438590317964554}"
"mental, niat, usaha, dan modal",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.9921049078305563, 'Clarity of Business and Self-Understanding': 0.6238725607593855, 'Practical Preparation and Readiness': 0.5286003649234772, 'Technology and Platform Requirements': 0.004425580749132981, 'Business Information and Supporting Documents': 0.3330126580161353, 'No Preparation Needed': 0.00010096435774660979, 'Time Availability and Commitment': 0.1578893462816874, 'Product Presentation and Portfolio Materials': 0.19193917512893677, 'Contact Details and Communication Channels': 0.14633348335822424, 'Active Listening and Openness to Feedback': 0.5463451147079468, 'Goal Clarity and Direction Setting': 0.7398916979630789, 'Understanding Mentor Background': 0.04282453675599148, 'Social Media and Digital Presence': 0.29485079397757846}"
Have a clear idea of their business goals and the challenges they are facing. Be able to qualify and quantify these components of the business so we can build a plan together. Also - be very open to feedback.,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.06096292566508055, 'Clarity of Business and Self-Understanding': 0.9425957997639974, 'Practical Preparation and Readiness': 0.12779909620682398, 'Technology and Platform Requirements': 0.03351790628706416, 'Business Information and Supporting Documents': 0.5770779848098755, 'No Preparation Needed': 0.001166616411258777, 'Time Availability and Commitment': 0.1425657292517523, 'Product Presentation and Portfolio Materials': 0.13248450805743536, 'Contact Details and Communication Channels': 0.09841855801641941, 'Active Listening and Openness to Feedback': 0.9689237475395203, 'Goal Clarity and Direction Setting': 0.7836843132972717, 'Understanding Mentor Background': 0.005465030049284299, 'Social Media and Digital Presence': 0.29874112891654175}"
"Wirausaha sebaiknya sudah mempunyai catatan singkat mengenai kendala dan peluang mereka, serta catatan keuangan.",UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.0011426055813596274, 'Clarity of Business and Self-Understanding': 0.10885774220029514, 'Practical Preparation and Readiness': 0.1428546765819192, 'Technology and Platform Requirements': 0.000809854168134431, 'Business Information and Supporting Documents': 0.556271495607992, 'No Preparation Needed': 7.191041610591735e-05, 'Time Availability and Commitment': 0.0010939643834717572, 'Product Presentation and Portfolio Materials': 0.007919248814384142, 'Contact Details and Communication Channels': 0.0018538333242759109, 'Active Listening and Openness to Feedback': 0.24769211312135062, 'Goal Clarity and Direction Setting': 0.00686295183065037, 'Understanding Mentor Background': 0.001445141686417628, 'Social Media and Digital Presence': 0.007308476294080417}"
Understand yourself and your interest. Know your strengths and very well your weaknesses. Being able to differentiate  threat opportunities. Willingness to keep going on when all seems not working.,Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Active Listening and Openness to Feedback']",3,"{'Mindset and Motivation': 0.840084175268809, 'Clarity of Business and Self-Understanding': 0.9038821856180826, 'Practical Preparation and Readiness': 0.554152101278305, 'Technology and Platform Requirements': 0.39694852754473686, 'Business Information and Supporting Documents': 0.5489138762156168, 'No Preparation Needed': 0.0022193756740307435, 'Time Availability and Commitment': 0.36515700723975897, 'Product Presentation and Portfolio Materials': 0.5247179766496023, 'Contact Details and Communication Channels': 0.5972673296928406, 'Active Listening and Openness to Feedback': 0.734671155611674, 'Goal Clarity and Direction Setting': 0.2798725813627243, 'Understanding Mentor Background': 0.010921048233285546, 'Social Media and Digital Presence': 0.5999729633331299}"
Contar con la información necesaria para poder brindarle la mejor asesoría y coaching relacionado a su negocio y objetivos del mismo.,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Business Information and Supporting Documents', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.12686030499753542, 'Clarity of Business and Self-Understanding': 0.8317631483078003, 'Practical Preparation and Readiness': 0.6032995581626892, 'Technology and Platform Requirements': 0.32518506050109863, 'Business Information and Supporting Documents': 0.9306468764940897, 'No Preparation Needed': 0.00012990245644080764, 'Time Availability and Commitment': 0.12500266482432684, 'Product Presentation and Portfolio Materials': 0.34263141763707, 'Contact Details and Communication Channels': 0.4892122596502304, 'Active Listening and Openness to Feedback': 0.6492372552553812, 'Goal Clarity and Direction Setting': 0.9226418733596802, 'Understanding Mentor Background': 0.00032664044556440786, 'Social Media and Digital Presence': 0.21692681312561035}"
write their expectations down  and be confident of what they want to get out of the mentorship program,Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1,"{'Mindset and Motivation': 0.28004426260789234, 'Clarity of Business and Self-Understanding': 0.08905650178591411, 'Practical Preparation and Readiness': 0.48597146073977154, 'Technology and Platform Requirements': 0.3479127675915758, 'Business Information and Supporting Documents': 0.12536584585905075, 'No Preparation Needed': 0.00045728825352853164, 'Time Availability and Commitment': 0.10462985560297966, 'Product Presentation and Portfolio Materials': 0.2649377432341377, 'Contact Details and Communication Channels': 0.1221066564321518, 'Active Listening and Openness to Feedback': 0.2719794971247514, 'Goal Clarity and Direction Setting': 0.9961172938346863, 'Understanding Mentor Background': 0.013139124338825544, 'Social Media and Digital Presence': 0.2592383995652199}"
"First, information
And, studying",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Business Information and Supporting Documents']",2,"{'Mindset and Motivation': 0.27347526404385764, 'Clarity of Business and Self-Understanding': 0.29885343958934146, 'Practical Preparation and Readiness': 0.921542227268219, 'Technology and Platform Requirements': 0.2590125572557251, 'Business Information and Supporting Documents': 0.635138084491094, 'No Preparation Needed': 0.00011448816803749651, 'Time Availability and Commitment': 0.059921090646336474, 'Product Presentation and Portfolio Materials': 0.2209313946465651, 'Contact Details and Communication Channels': 0.39852068573236465, 'Active Listening and Openness to Feedback': 0.18587108794599771, 'Goal Clarity and Direction Setting': 0.062183000768224396, 'Understanding Mentor Background': 0.3425075113773346, 'Social Media and Digital Presence': 0.09998474797854821}"
Ensure that your single incomple records are available for us to complete it for you.,Business Information and Supporting Documents,"['Business Information and Supporting Documents', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.23031339049339294, 'Clarity of Business and Self-Understanding': 0.06879464040199916, 'Practical Preparation and Readiness': 0.41324692964553833, 'Technology and Platform Requirements': 0.2836894964178403, 'Business Information and Supporting Documents': 0.73411891857783, 'No Preparation Needed': 0.005958495254162699, 'Time Availability and Commitment': 0.0766125110288461, 'Product Presentation and Portfolio Materials': 0.34262217332919437, 'Contact Details and Communication Channels': 0.1884310431778431, 'Active Listening and Openness to Feedback': 0.6382825374603271, 'Goal Clarity and Direction Setting': 0.6498106122016907, 'Understanding Mentor Background': 0.19976726174354553, 'Social Media and Digital Presence': 0.4862208217382431}"
Be clear about your goals and dreams while being open to new ways to reach them.,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Mindset and Motivation']",2,"{'Mindset and Motivation': 0.7237089077631632, 'Clarity of Business and Self-Understanding': 0.09316232924660046, 'Practical Preparation and Readiness': 0.09460762329399586, 'Technology and Platform Requirements': 0.08509522629901767, 'Business Information and Supporting Documents': 0.04132463534673055, 'No Preparation Needed': 0.014484997916345796, 'Time Availability and Commitment': 0.046080521463106074, 'Product Presentation and Portfolio Materials': 0.292130209505558, 'Contact Details and Communication Channels': 0.44735677912831306, 'Active Listening and Openness to Feedback': 0.12919920682907104, 'Goal Clarity and Direction Setting': 0.8911834160486857, 'Understanding Mentor Background': 0.02924962155520916, 'Social Media and Digital Presence': 0.4076239789525668}"
اول خطوة تفاهم على المقابل تم طريقة العمل خطوة بالخطوة وتطبيق بالنفس الارشادات,UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.19570161402225494, 'Clarity of Business and Self-Understanding': 0.31820771160225075, 'Practical Preparation and Readiness': 0.4392539784312248, 'Technology and Platform Requirements': 0.10765809261162455, 'Business Information and Supporting Documents': 0.15553350987223288, 'No Preparation Needed': 0.009134273597737774, 'Time Availability and Commitment': 0.16300136176869273, 'Product Presentation and Portfolio Materials': 0.29929732096691924, 'Contact Details and Communication Channels': 0.07148640851179759, 'Active Listening and Openness to Feedback': 0.5228110353151957, 'Goal Clarity and Direction Setting': 0.15709646108249822, 'Understanding Mentor Background': 0.010337276384234428, 'Social Media and Digital Presence': 0.32420778274536133}"
An entrepreneur should have a business     idea and get to know that iam a mentor who can advise and jointly come up with possible solutions. Also he/ she should be prepared to consult as well as share any information related to the business that can help in business sustainabillity  as well as profitability.,Business Information and Supporting Documents,['Business Information and Supporting Documents'],1,"{'Mindset and Motivation': 0.04772364865251196, 'Clarity of Business and Self-Understanding': 0.34155287717779476, 'Practical Preparation and Readiness': 0.5273036354531845, 'Technology and Platform Requirements': 0.14435879583470523, 'Business Information and Supporting Documents': 0.6028210520744324, 'No Preparation Needed': 0.00013498196979829422, 'Time Availability and Commitment': 0.1476395825544993, 'Product Presentation and Portfolio Materials': 0.2525460533797741, 'Contact Details and Communication Channels': 0.38619767129421234, 'Active Listening and Openness to Feedback': 0.5143743207057317, 'Goal Clarity and Direction Setting': 0.30967002362012863, 'Understanding Mentor Background': 0.0013197336229495704, 'Social Media and Digital Presence': 0.2211181285480658}"
Recopilar la información básica del negocio así como un buen resumen del estatus actual y el problema que quieren resolver.,Clarity of Business and Self-Understanding,['Clarity of Business and Self-Understanding'],1,"{'Mindset and Motivation': 0.0004550591996424676, 'Clarity of Business and Self-Understanding': 0.8914873003959656, 'Practical Preparation and Readiness': 0.0785362229992946, 'Technology and Platform Requirements': 0.0026588651623266437, 'Business Information and Supporting Documents': 0.5981982448138297, 'No Preparation Needed': 0.0012357109759856637, 'Time Availability and Commitment': 0.01433176857729753, 'Product Presentation and Portfolio Materials': 0.02465115235342334, 'Contact Details and Communication Channels': 0.02263057022355497, 'Active Listening and Openness to Feedback': 0.2700122743844986, 'Goal Clarity and Direction Setting': 0.039430286114414535, 'Understanding Mentor Background': 0.0002082836411621732, 'Social Media and Digital Presence': 0.0018157519516535103}"
Have a description of the area where you consider in need of improvement and explain why.,UNKNOWN,['UNKNOWN'],1,"{'Mindset and Motivation': 0.0974039447804292, 'Clarity of Business and Self-Understanding': 0.07358170921603839, 'Practical Preparation and Readiness': 0.2135688328805069, 'Technology and Platform Requirements': 0.4158113348142554, 'Business Information and Supporting Documents': 0.2678747872511546, 'No Preparation Needed': 0.0001041941989872915, 'Time Availability and Commitment': 0.03126709659894308, 'Product Presentation and Portfolio Materials': 0.3511688768242796, 'Contact Details and Communication Channels': 0.036502933440109096, 'Active Listening and Openness to Feedback': 0.13003696501255035, 'Goal Clarity and Direction Setting': 0.11486810942490895, 'Understanding Mentor Background': 0.005893376578266422, 'Social Media and Digital Presence': 0.1910446435213089}"
Tener claro y definido el tema a consultar,Clarity of Business and Self-Understanding,"['Clarity of Business and Self-Understanding', 'Goal Clarity and Direction Setting', 'Social Media and Digital Presence']",3,"{'Mindset and Motivation': 0.7255740364392599, 'Clarity of Business and Self-Understanding': 0.7818577488263448, 'Practical Preparation and Readiness': 0.3233717828989029, 'Technology and Platform Requirements': 0.5776856765151024, 'Business Information and Supporting Documents': 0.746621290842692, 'No Preparation Needed': 0.03996693707692126, 'Time Availability and Commitment': 0.6637457112471262, 'Product Presentation and Portfolio Materials': 0.6533180872599283, 'Contact Details and Communication Channels': 0.438015840947628, 'Active Listening and Openness to Feedback': 0.13652852177619934, 'Goal Clarity and Direction Setting': 0.7891969780127207, 'Understanding Mentor Background': 0.38183839122454327, 'Social Media and Digital Presence': 0.7534451285998026}"
"Start to think about two things: 1) on a high level, what are they hoping to achieve out of our collaboration/what are their goals for their business this year? 2) on a secondary level, what are the top 3 areas they are looking to discuss and build experience/knowledge in?",Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1,"{'Mindset and Motivation': 0.09404207319797327, 'Clarity of Business and Self-Understanding': 0.28456722758710384, 'Practical Preparation and Readiness': 0.010721574886702001, 'Technology and Platform Requirements': 0.036279630924885474, 'Business Information and Supporting Documents': 0.15274774469435215, 'No Preparation Needed': 0.002945499048413088, 'Time Availability and Commitment': 0.05697633698582649, 'Product Presentation and Portfolio Materials': 0.08321858011186123, 'Contact Details and Communication Channels': 0.07264506071805954, 'Active Listening and Openness to Feedback': 0.3511084169149399, 'Goal Clarity and Direction Setting': 0.6375780204931895, 'Understanding Mentor Background': 0.0025070667810117206, 'Social Media and Digital Presence': 0.16381488367915154}"
Produk yang sudah ada,Goal Clarity and Direction Setting,"['Goal Clarity and Direction Setting', 'Practical Preparation and Readiness', 'No Preparation Needed']",3,"{'Mindset and Motivation': 0.4607384254535039, 'Clarity of Business and Self-Understanding': 0.25607440372308093, 'Practical Preparation and Readiness': 0.6393173336982727, 'Technology and Platform Requirements': 0.28776059796412784, 'Business Information and Supporting Documents': 0.45610291759173077, 'No Preparation Needed': 0.7007055679957072, 'Time Availability and Commitment': 0.560947467883428, 'Product Presentation and Portfolio Materials': 0.498006201038758, 'Contact Details and Communication Channels': 0.6445065438747406, 'Active Listening and Openness to Feedback': 0.7152511179447174, 'Goal Clarity and Direction Setting': 0.7673771480719248, 'Understanding Mentor Background': 0.3636174793355167, 'Social Media and Digital Presence': 0.48837879424293834}"
"*Be in touch with their business
* Prepare for meetings by reading up any materials shared before the meeting",Practical Preparation and Readiness,"['Practical Preparation and Readiness', 'Business Information and Supporting Documents', 'Contact Details and Communication Channels']",3,"{'Mindset and Motivation': 0.36097296678538743, 'Clarity of Business and Self-Understanding': 0.6545207997163137, 'Practical Preparation and Readiness': 0.9910877346992493, 'Technology and Platform Requirements': 0.5723721583684286, 'Business Information and Supporting Documents': 0.8693137963612875, 'No Preparation Needed': 6.884521887210819e-05, 'Time Availability and Commitment': 0.5130571102102598, 'Product Presentation and Portfolio Materials': 0.6396864056587219, 'Contact Details and Communication Channels': 0.8493734002113342, 'Active Listening and Openness to Feedback': 0.36374438491960365, 'Goal Clarity and Direction Setting': 0.509552584340175, 'Understanding Mentor Background': 0.00164677567469577, 'Social Media and Digital Presence': 0.4593486984570821}"
Tidak takut resiko,Mindset and Motivation,"['Mindset and Motivation', 'Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting']",3,"{'Mindset and Motivation': 0.864753802617391, 'Clarity of Business and Self-Understanding': 0.31767816344896954, 'Practical Preparation and Readiness': 0.6243180831273397, 'Technology and Platform Requirements': 0.4767526139815648, 'Business Information and Supporting Documents': 0.4736002633968989, 'No Preparation Needed': 0.7093629240989685, 'Time Availability and Commitment': 0.4562297041217486, 'Product Presentation and Portfolio Materials': 0.6474469502766927, 'Contact Details and Communication Channels': 0.7290538549423218, 'Active Listening and Openness to Feedback': 0.7711642583211263, 'Goal Clarity and Direction Setting': 0.8196414907773336, 'Understanding Mentor Background': 0.782975971698761, 'Social Media and Digital Presence': 0.6685961534579595}"
Check my website and Linkedin profile to determine if my approach suits them,Active Listening and Openness to Feedback,"['Active Listening and Openness to Feedback', 'Goal Clarity and Direction Setting', 'Practical Preparation and Readiness']",3,"{'Mindset and Motivation': 0.515771002198259, 'Clarity of Business and Self-Understanding': 0.5387853980064392, 'Practical Preparation and Readiness': 0.7398595213890076, 'Technology and Platform Requirements': 0.4523225948214531, 'Business Information and Supporting Documents': 0.4523738920688629, 'No Preparation Needed': 0.44412609934806824, 'Time Availability and Commitment': 0.6609889467557272, 'Product Presentation and Portfolio Materials': 0.5205642779668173, 'Contact Details and Communication Channels': 0.6713448266188303, 'Active Listening and Openness to Feedback': 0.8008230527242025, 'Goal Clarity and Direction Setting': 0.7760536670684814, 'Understanding Mentor Background': 0.08916764721895258, 'Social Media and Digital Presence': 0.6651671230792999}"
Energize and open their minds,Mindset and Motivation,"['Mindset and Motivation', 'Contact Details and Communication Channels', 'Active Listening and Openness to Feedback']",3,"{'Mindset and Motivation': 0.9561133980751038, 'Clarity of Business and Self-Understanding': 0.7193682789802551, 'Practical Preparation and Readiness': 0.669361432393392, 'Technology and Platform Requirements': 0.5562267353137335, 'Business Information and Supporting Documents': 0.628908654054006, 'No Preparation Needed': 0.08169269980862737, 'Time Availability and Commitment': 0.6890206038951874, 'Product Presentation and Portfolio Materials': 0.7109932402769724, 'Contact Details and Communication Channels': 0.7907047271728516, 'Active Listening and Openness to Feedback': 0.9539203842480978, 'Goal Clarity and Direction Setting': 0.8448153535525004, 'Understanding Mentor Background': 0.5805252194404602, 'Social Media and Digital Presence': 0.7902963956197103}"
"1. Understand Their Business: Gain a comprehensive understanding of the entrepreneur's business, including its industry, target market, products or services, and unique challenges. Review any materials they provide and conduct additional research to familiarize yourself with their venture.
 
2. Clarify Expectations: Clearly define the scope and expectations of the mentorship. Discuss the entrepreneur's goals, what they hope to achieve through mentoring, and establish a realistic timeline. Set mutual expectations for communication frequency and preferred modes of interaction.
 
3. Assess Their Needs: Identify the specific areas where the entrepreneur seeks guidance. This could range from strategic planning and financial management to marketing, team building, or problem-solving. Tailor your mentoring approach to address their unique needs and challenges.
 
4. Review Business Plans: If available, review the entrepreneur's business plan. This document provides insights into their vision, mission, goals, and strategies. Understanding their roadmap will help you provide more targeted and relevant advice.
 
5. Evaluate Current Challenges: Discuss the entrepreneur's current challenges and roadblocks. Understanding their immediate concerns will allow you to offer timely and impactful guidance. This might involve addressing issues related to operations, scalability, market positioning, or customer acquisition.
 
6. Identify Strengths and Weaknesses: Assess the entrepreneur's strengths and weaknesses, both as an individual and within their business. This evaluation can help tailor mentoring to capitalize on strengths and address areas that may need improvement or development.
 
7. Familiarize Yourself with Industry Trends: Stay informed about current trends and best practices in the entrepreneur's industry. This knowledge will enable you to provide relevant insights and help them stay competitive in a dynamic market.
 
8. Prepare Mentoring Resources: Compile relevant resources, case studies, templates, or frameworks that may assist the entrepreneur. Having these materials ready demonstrates your commitment to providing valuable and practical guidance.
 
9. Establish Trust and Rapport: Prior to formal mentoring sessions, establish a foundation of trust and rapport. Schedule an introductory meeting to get to know the entrepreneur on a personal and professional level. Building a strong relationship will enhance the effectiveness of the mentoring dynamic.
 
10. Brush Up on Your Mentoring Skills: Reflect on your own mentoring skills and experiences. Consider any relevant training or updates that could enhance your ability to guide and support the entrepreneur effectively.",Mindset and Motivation,"['Mindset and Motivation', 'Clarity of Business and Self-Understanding', 'Practical Preparation and Readiness']",3,"{'Mindset and Motivation': 0.974130113919576, 'Clarity of Business and Self-Understanding': 0.9809310634930929, 'Practical Preparation and Readiness': 0.9807558258374532, 'Technology and Platform Requirements': 0.9777386784553528, 'Business Information and Supporting Documents': 0.9804643591245016, 'No Preparation Needed': 0.6051808322469393, 'Time Availability and Commitment': 0.9759713013966879, 'Product Presentation and Portfolio Materials': 0.9787625273068746, 'Contact Details and Communication Channels': 0.9796339074770609, 'Active Listening and Openness to Feedback': 0.9796479344367981, 'Goal Clarity and Direction Setting': 0.9813934763272604, 'Understanding Mentor Background': 0.969670832157135, 'Social Media and Digital Presence': 0.9785506327946981}"
الجديه التامه والالتزام,Time Availability and Commitment,"['Time Availability and Commitment', 'Goal Clarity and Direction Setting', 'Mindset and Motivation']",3,"{'Mindset and Motivation': 0.7417447169621786, 'Clarity of Business and Self-Understanding': 0.5918459196885427, 'Practical Preparation and Readiness': 0.7030433217684428, 'Technology and Platform Requirements': 0.31505129237969715, 'Business Information and Supporting Documents': 0.5818552672863007, 'No Preparation Needed': 0.012830013661490133, 'Time Availability and Commitment': 0.7774802247683207, 'Product Presentation and Portfolio Materials': 0.5495250324408213, 'Contact Details and Communication Channels': 0.4452766279379527, 'Active Listening and Openness to Feedback': 0.5196898182233175, 'Goal Clarity and Direction Setting': 0.8265018264452616, 'Understanding Mentor Background': 0.6076798737049103, 'Social Media and Digital Presence': 0.45456572870413464}"
"1.NIAT YANG KUAT 
2.MAU BELAJAR 
3.SIAP SUKSES",Mindset and Motivation,"['Mindset and Motivation', 'Goal Clarity and Direction Setting']",2,"{'Mindset and Motivation': 0.9557708104451498, 'Clarity of Business and Self-Understanding': 0.09926009302337964, 'Practical Preparation and Readiness': 0.40439382568001747, 'Technology and Platform Requirements': 0.05697982246056199, 'Business Information and Supporting Documents': 0.047800550858179726, 'No Preparation Needed': 0.0002819318906404078, 'Time Availability and Commitment': 0.006723485033338268, 'Product Presentation and Portfolio Materials': 0.2335547668238481, 'Contact Details and Communication Channels': 0.20496719827254614, 'Active Listening and Openness to Feedback': 0.013594914538164934, 'Goal Clarity and Direction Setting': 0.8168194691340128, 'Understanding Mentor Background': 0.037948153292139374, 'Social Media and Digital Presence': 0.1666942828645309}"
Get a Skype account and a working internet connection! That's all I need!,No Preparation Needed,['No Preparation Needed'],1,"{'Mindset and Motivation': 0.41382394420603913, 'Clarity of Business and Self-Understanding': 0.04819853603839874, 'Practical Preparation and Readiness': 0.07184762693941593, 'Technology and Platform Requirements': 0.00785342239153882, 'Business Information and Supporting Documents': 0.03291387859887133, 'No Preparation Needed': 0.7547118763128916, 'Time Availability and Commitment': 0.007689748425036669, 'Product Presentation and Portfolio Materials': 0.29442545399069786, 'Contact Details and Communication Channels': 0.27521173655986786, 'Active Listening and Openness to Feedback': 0.3413356641928355, 'Goal Clarity and Direction Setting': 0.34135466317335766, 'Understanding Mentor Background': 0.36330902576446533, 'Social Media and Digital Presence': 0.09782779697949688}"
Debe de investigar su tema de interés.,Goal Clarity and Direction Setting,['Goal Clarity and Direction Setting'],1,"{'Mindset and Motivation': 0.2579984764258067, 'Clarity of Business and Self-Understanding': 0.14190047731002173, 'Practical Preparation and Readiness': 0.24620620906352997, 'Technology and Platform Requirements': 0.49863193184137344, 'Business Information and Supporting Documents': 0.5806786715984344, 'No Preparation Needed': 0.00017515737757397196, 'Time Availability and Commitment': 0.42435457309087116, 'Product Presentation and Portfolio Materials': 0.46706469853719074, 'Contact Details and Communication Channels': 0.38898975650469464, 'Active Listening and Openness to Feedback': 0.4070826967557271, 'Goal Clarity and Direction Setting': 0.6062986552715302, 'Understanding Mentor Background': 0.04883709053198496, 'Social Media and Digital Presence': 0.41734759509563446}"
